,TIME_PERIOD,Q.N.I8.W1.S1P.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1Q.S1.T.A.FA.D.F._Z.EUR._T._X.N,Q.N.I8.W1.S1.S1.T.A.FA.D.F._Z.EUR._T._X.N
0,2008-Q1,158849.702543074,158813.745366074,71.91435400000773
1,2008-Q2,55317.060368188075,55136.81319118807,360.4943540000095
2,2008-Q3,136186.07971944657,136268.1225424466,-164.08564600005047
3,2008-Q4,19164.430917257607,20203.473740257614,-2078.085646000014
4,2009-Q1,81747.49224308884,81847.79387208886,-200.60325800004648
5,2009-Q2,4359.016090292758,4460.40471929275,-202.7772579999837
6,2009-Q3,97404.31992201981,97584.62155101981,-360.6032579999883
7,2009-Q4,101643.61018174098,102102.93481074099,-918.6492580000195
8,2010-Q1,88749.53083782908,88631.98229082908,235.097093999997
9,2010-Q2,132526.12434524123,132497.5657982412,57.117094000044744
10,2010-Q3,112994.93762962653,113067.38908262654,-144.9029060000321
11,2010-Q4,16926.193847703624,16908.611300703626,35.165093999996316
12,2011-Q1,164778.6105735945,164649.3841315945,258.45288399996934
13,2011-Q2,66837.70582671129,66581.5793847113,512.2528839999868
14,2011-Q3,101404.07995662284,101453.85351462282,-99.54711599997245
15,2011-Q4,164334.91363692522,164375.73319492524,-81.63911600003485
16,2012-Q1,169722.18672223185,169297.99102223187,848.391399999964
17,2012-Q2,117239.33535124973,117163.01365124973,152.64340000000084
18,2012-Q3,133626.431744263,133730.34704426298,-207.83059999992838
19,2012-Q4,140848.4625672918,140860.36186729182,-23.798600000038277
20,2013-Q1,138388.8288205625,138371.75342956255,34.15078199992422
21,2013-Q2,144192.643372625,144062.318904625,260.6489360000123
22,2013-Q3,88088.48996573438,87702.44254773438,772.0948360000039
23,2013-Q4,242041.46642853125,241987.4775015313,107.97785399988061
24,2014-Q1,54212.39950515626,54102.920963156255,218.95708400000876
25,2014-Q2,26641.22915171874,24960.80350971874,3360.851284000004
26,2014-Q3,106861.55907274217,107398.18254874216,-1073.2469519999868
27,2014-Q4,59604.099749300774,59472.71981730078,262.7598639999924
28,2015-Q1,369901.04083195317,369985.87085495313,-169.6600459999172
29,2015-Q2,142234.091266375,142307.04169437502,-145.90085600002203
30,2015-Q3,175960.414846625,175982.178299625,-43.52690599998459
31,2015-Q4,353624.1449588438,353164.3141248438,919.6616680000443
32,2016-Q1,183945.21844612499,184093.62135612493,-296.80581999989226
33,2016-Q2,69469.9713544375,69597.88006343751,-255.81741800002055
34,2016-Q3,86700.9880299297,86842.99361992972,-284.01118000005954
35,2016-Q4,80037.10576518747,80001.20648418748,71.79856199998176
36,2017-Q1,252818.08118492115,252890.93645592115,-145.71054200001527
37,2017-Q2,136557.86451965626,136765.69397665627,-415.65891400002874
38,2017-Q3,-103454.24878602347,-103313.92847302344,-280.6406260000658
39,2017-Q4,47375.028202171874,47584.19630617187,-418.33620799999335
40,2018-Q1,56805.07072021874,56765.36552521875,79.41038999997545
41,2018-Q2,42265.55563395313,42320.18628795311,-109.26130799995735
42,2018-Q3,-108198.75298031249,-108107.4899163125,-182.5261279999977
43,2018-Q4,-301863.05044363625,-301740.5668276362,-244.96723200008273
44,2019-Q1,182492.89477262495,182435.885525625,114.0184939999017
45,2019-Q2,-52665.13342959377,-52593.173900593756,-143.9190580000286
46,2019-Q3,169292.73762813676,169360.67409813678,-135.8729400000302
47,2019-Q4,-259277.20267149998,-259185.72214750003,-182.96104799991008
48,2020-Q1,-80734.91760903125,-80674.52887403124,-120.77747000003001
49,2020-Q2,33608.491722499995,33678.3599965,-139.73654800001532
50,2020-Q3,5069.461623828127,5155.345402828134,-171.7675580000141
51,2020-Q4,-81297.94030397266,-81399.41448597265,202.94836399998167
52,2021-Q1,106998.70564996876,106896.90925296876,203.5927939999965
53,2021-Q2,-9378.05452531251,-9451.92577831251,147.74250600000232
54,2021-Q3,69770.6579445625,69819.3600545625,-97.40421999999671
55,2021-Q4,-10287.38779321876,-10256.528755218736,-61.71807600004831
56,2022-Q1,53149.008601531255,53253.26942653126,-208.52165000000969
57,2022-Q2,64312.889262187506,64431.2873321875,-236.79613999999128
58,2022-Q3,66041.33550238282,66083.95218838281,-85.23337199998787
59,2022-Q4,0.0,-223069.34530900003,446138.69061800005
